target,texts
0,"Monday, Many tours in Surabaya are closed."
1,Great Place for sightseeing and spending time with friends or family
1,"Cool place, comfortable, clean, unlike other squares, this place has a unique architecture and layout"
1,Place of education for the citizens of Surabaya in particular and society in general.
1,Really good
1,Lots of good smooth
1,"Clean, well-maintained, bright and cool"
1,The Suroboyo children's creative activity center is here. Always well maintained by the municipal government of Surabaya
1,"I've been here several times and this is the first time the smoke from the fountain appears, yeeaay "
1,"Very good, very familyable"
1,Unique
1,Surabaya icon Exciting
1,"Surabaya residents must come here to take part in activities every weekend, namely creative home training"
1,"The place is nice, it could be an icon of Surabaya ."
1,"the first time here, it turned out to be good, when compared to Jakarta, what do you pay. very different here. Just enter the art museum, free parking is also free, wow"
1,Cozy atmosphere in the gallery
1,Really good 
1,There are many good spots to take pictures and make memories in Surabaya
0,it's really crowded when it's nighttime I have to go there again  
0,"highly recommended holding an event here, Balai Pemuda. even though the air is super hot outside SBY. "
1,the place is comfortable 
1,"Many spot to enjoy, from jogging track, viewpoint, water cycle and boat trip that will take you to see mangrove ecosystem"
0,There is no server yet
1,"Mangrove tours near the house, really suitable at the end of the month to come here with family"
1,"The place is nice, perfect for refreshing your mind for a moment, construction is already underway, the facilities are quite adequate, the only problem is access to the driveway because it's still under construction"
0,"The location is still as it is  not well maintained, even though there are many spots that are still a lot to explore  far from the Wonorejo mangroves "
1,It's a clean and good area 
0,"Free entry, just pay for parking. Nice place, lots of photo spots"
1,"New mountain mangrove tour, Rungkut-Surabaya"
1,Cool
1,"Natural, beautiful  It's better to come early in the morning before 8."
1,"great as a means of learning science, especially about mangrove forest ecosystems"
1,"Cheap tourist attractions, complete here"
1,"The place is comfortable, you can relieve fatigue and stress  it's better to come in the morning or evening  if it's hot during the day, it's really hot"
1,Mount Anyar Mangrove Forest looking for cool but free tourist attractions in Surabaya is the solution. 
1,Very cool  
1,"The place is nice, comfortable and clean for recommended family tourism"
1,"There are 2 mangroves there, one of the roads is badly damaged, mud thok  go back to the cat finally  to the mangroves the only road is paved  a jogging track not too wide  so just take a moment  parking for 5 thousand, there is a toilet also "
1,Mantab clean cheap free travel
1,Free nature tourism that only pays for parking fees with quite complete and child-friendly facilities. 
1,Beautiful beautiful cool.
1,Nice and beautiful. Suitable for roads
1,"The place is cool, comfortable, clean, lots of places to sit"" if you are tired of walking, the road is wide, recommended for thin healing"""
1,"Looking for cool but free tourist spots in Surabaya, Gunung Anyar Mangrove Forest is the solution. This destination with an ecotourism concept is located on Jalan Medokan Sawah, Medokan Ayu Village, Rungkut District, Gunung Anyar Tambak, Gunung Anyar."
1,cool place on the outskirts of the metropolis
1,"Nice, clean, good for photo spots"
1,It's great that the trees are well cared for
1,Make the garden more beautiful
0,Now many sports facilities are damaged
1,Okay
1,The choice of a light hangout destination with the kids in the afternoon
1,Wow siipp 
1,Not bad for a place to relax while eating toast 😁
1,"Park with children's play facilities, there are futsal and basketball courts, swings, slides, several sports equipment and reflection stones, the park is clean, not bad for playing with children, across from it there are delicious meatballs, reog meatballs"
1,Nice place for clean up my mind 
1,attractive
1,"The road under the bridge looks like it has not been maintained, the color has become plain, there is no shelter anymore"
1,"It's pretty clean & not too hot, because there are lots of trees, lots of culinary & various kinds of knick-knacks sold here, clothes are also available even though there aren't too many visitors"
1,Entrance tickets can be purchased online or on the spot (on location).  
1,Good  More and more facilities
1,"Decent place for holidays with family or friends, lots of culinary menu choices. "
1,"An inexpensive recreation area, a variety of culinary delights and a center for souvenirs.     "
1,"Relax, but cleanliness needs to be improved"
1,Recommended 
1,Recreational places are cheap and affordable
1,"The place is nice  Now it's clean, plus there is a new bridge, it's even more beautiful"
1,Nice place
1,Complete place
1,Just normal
1,"Old Kenjeran Beach is now a better, cleaner and more comfortable place to gather with family or friends, the ticket prices are also affordable"
1,now it's pretty good and neat 
1,Many Good Beach Cracker Traders Suitable For Holidays Or Just Come Here
1,Super more comfortable now though
1,Folk beach tourism
1,Nice bridge to see the view
1,"The place is clean, MSMEs are very functioning, service   traders are good and friendly"
1,very worth it
1,Nice Place On The Edge Of Kenjeran Beach
1,Good scenery
1,"Big pagoda, and wide sea view"
1,"Enter via the park gate. 5k per person, the place is clean, the people are good  "
1,Nice place to take pictures
1,"Crowded, full of many people when"
1,The beautiful Goddess of Mercy Statue in Surabaya.
1,The last time i went to Kenjeran place was like yonks ago where im still like in prep.
1,Budha temple  great place
1,"Keren, I love it."
1,Good
1,A very beautiful place to enjoy the island of Madura and Off the Ferry Boat
1,The stitches are neat and good
1,The busiest port   Always operating 24 hours
1,Nice atmosphere but very hot during the day
1,Nice
1,good place to spend time and take pictures
1,The sea view is good
0,"Expensive, the view does not match expectations"
1,Not bad for hanging out while chatting
1,Nothing at all
1,the shop doesn't exist. fake aliases.
1,Less organized
0,Dirty
1,It's just a small alleyway. Okay for industrial old building photography theme. Nothing else.
1,"Many old buildings as cultural heritage, every Saturday and Sunday many people visit Jalan Gula, spot Photo"
1,The only good for photos is the end of the sugar road from the rubber road. 
1,"It's not as good as it used to be, many murals are not clear. "
0,Not really recommended
1,Creepy Old Houses
0,Not anymore
1,"good for photo spots, right and left of the old building, "
0,it's so crowded that it's not well-maintained now  
1,An interesting place for an Instagrammable photo location
1,Not bad for a vintage photo
1,It's actually a good photo spot. 
1,Not bad for remembering old times.
1,"this place is in an alley and not too long, "
1,"The old city in the Surabaya area, which has lots of ancient buildings   "
1,"It's normal, but how come the photo  "
1,Children love to play in this park
1,The atmosphere is cool in the middle of the scorching heat of Surabaya
1,Clean and comfortable suitable for sports and playing
1,Excellent
1,One of the green open spaces
0,less parking as input
1,It's fun with a life partner
1,Very satisfactor 
1,"It's good, the park is clean, it's quite spacious"
1,Quick and tidy
0,Nyesell tired of taking the train
1,"It's enough to just refresh with the kids, it's just that the place is small and in the middle of the city"
1,Recommended
1,Suitable for accompanying children to play
1,"It's clean enough, the park staff is also friendly"
1,Clean and good playground park in surabaya.
1,A place that is minimal and turned into a beautiful park with quite complete facilities makes people want to visit the next day
1,There have been many improvements on the side of the playground and park. 
1,"a place besides delivering small children to play, there are quite a lot of games, a place if you're bored and relaxed, from morning to evening, "
1,Legen which is sold across the street tastes pretty good  The ingredients are delicious  The snacks are also cheap  1000's all 
0,There is no beer in Surabaya
1,The place is comfortable for night running community gathering
1,Great for selfies
0,"How come the picture doesn't match, the real one doesn't have a futsal field"
0,Lack of synthetic grass futsal field was heavily damaged
0,Parking attendants everywhere. Stop everywhere told to pay. Critical.
0,Many street vendors are small
0,A lot of people
0,parking lot is expensive
0,Slow service
0,Bad urine odor
0,impressive and beautiful
0,Messy place
0,Less members
0,Dirty
0,bad place for sure
0,Transportation is difficult for foreigners.  
0,You need to get a taxi good luck.
0,"Nothing to see. Foods taste bad, the price is expensive."
0,"Not a tourist destination. Seriously, there is nothing to see or eat here."
0,Public rubbish everywhere.
0,The place was a messed up place  
0,"Dirty, less sign"
0,I got scammed there
1,Ok
0,Not humiliate at all
0,"Polluted, poor WiFi, dirty"
0,no nope
0,Wrong open closed time
0,Out of expectations
0,Bad facility
0,Bad service
0,Nothing really
0,Horrible
0,Don't buy food and drinks here
0,Not recommended.
0,Nice place
1,God  N sipp 
1,"Casting baramundi here can also payus. The place is spacious, cak Baygon is friendly but hilarious, all in all it's delicious, there's a coffee shop too, the motorbike parking is safe. He's the best"
1,"Cool spot for fishing, cheap, only 10K. You can fish as much josssss"
1,The cheapest daily fishing is only 10 thousand and the fish are great
1,"The daily fishing spots in the Surabaya area are relatively cheap, just 10,000, eits, don't forget to bring an umbrella, okay"
1,"Htm 10k, patient gelem tree must be by big fish"
1,"cheap fishing spots, wide areas, free bait, milkfish tilapia dominant fish, those who are afraid of the heat bring your own umbrella"
1,"Pretty big fish, still curious, not satisfied with the results"
1,"I think it's good for fishing, try it when I go there."
1,It's a shame the fish are cruising so they don't eat
1,This beloved pond is lur  Cheap and cheerful There is a shop. The old fish is big
1,The pond is very wide suitable for fish farming
1,Gut test spot
1,Not bad bite
1,Good place to buy some snacks for those who needs vitamin sea 🏝
1,I love the bridge . especially during this horrible pandemic and force people to quarantine but for me it's cool and gorgeous the view when there's no vehicles surrounding me .
1,A nice place to see the sun rise. I don't know about the view of the fountain at night because I haven't gone there at night.
1,A nice place to have an afternoon stroll and taje picture. You can see Suramadu bridge from this place.
1,Good place for family vacay and enjoying the view of the beach kenjeran
1,you have to stop by here while cycling
0,Could not park here.  Parking is far away and you have to walk quite far to reach the centre of the bridge
1,This bridge have a beautiful landscape.
1,Wonderful
1,"The bridge is closed for vehicle in the afternoon. So, the locals can use it as an attraction. Watch out of the strong crosswind."
1,Nice place to visit especially when it's sun sets. Beautiful.
1,It is looking so great at night because there is so many beautiful lights in this Surabaya bridge  
1,Place to refresh your mind
1,A nice place to hanging around  Have various street food waiting for visitors
1,You could see the bridge from kenjeran lama park and also the beautiful sunrise moment
1,Good view in the morning
1,Beauty sky and many seller. But no lamp overthere.  Exactly the lamp is off
1,Good place to jogging with family. Kenjeran Beach with Java Sea view
1,Good place to get your body healthy
1,Legendary  jossssssssss
1,Nice cultural street for night life. A lot of eateries and live performances that goes on very late night.
1,Take a walk along Jl. Tunjungan provides an unforgettable life experience.
1,"I've been waiting for a long time why Tunjungan isn't made into an icon, a hangout place  finally starting in 2020 someone is making it happen"
1,"thank you, the city of Surabaya is getting more hits, the cooler we are grateful to live here, good luck in our own city, and become a safe and prosperous city Surabaya Forever"
1,"nice, really classic here. It's good if you come at night "
1,Very romantic
1,"came here because there was an EDEN CROFFLE at that time  the taste was good, the price was 15k and you got 2 large"
1,"Jl Tunjungan then and now is different, more slang"
1,"Public spaces are fun for all people to hang out with, from young people to veterans  awesome, fun and full of history  Love Surabaya"
1,The angkringan is cheap
1,Suitable for enjoying the existing atmosphere
1,It's fun to walk while taking pictures. While hanging out sipping a hot cappuccino.
1,One of the streets that became an icon in the city of Surabaya
1,The environment is beautiful plus security is d'best
1,Nice for walking
1,instagramable
0,"The buskers weren't coordinated  after one came, another one came  even though there were alre  "
1,Good for photo spots 
1,I dared to post photos from an off-the-beaten angles
1,Many times hear the popilarity of taman bungkul but just now have time to visit here.
1,"I visited here 3 years ago, maybe it has changed a lot now."
1,"The best place to do some exercising, Especially In the weekends. "
1,I found it bit crowded. Market also nearby. Good place to roam around
1,"In my opinion, the park encompasses of skateboard arena, playground, huge empty field (shown below for events) and lots of small vendors selling street food and children's toys. "
1,"This is a very well known park in Surabaya, even people from outside Surabaya knows a little about this park. A playground for children also available here."
1,Amazing place for local citizens to spend their weekend with family. lots of people gather here to just chill and meet with their community
1,Nice and historic park. There is cementary of Ki Ageng and culinary ie Rawon Kalkulator
1,A nice public space which is developed by surabaya government. 
1,"One of the best city park in Indonesia, world even. It won an award and has nice playground for kids. "
1,Taman Bungkul is the best garden in Surabaya. 
1,"Really love this place The ""car free day event"" every sunday is a must visit, you can find anything from traditional foods to nice clothings with affordable prices. "
1,Good place to hangout with family while enjoying the night of Surabaya. This park is quite complete. 
1,"a good place for gathering and maybe to enjoy some food there or just hanging out to chill, the park is crowded there's a skateboard track there so be careful and watch ur kid if u go there"
1,"First time in Taman Bungkul, car free day and a lot of locals who come for exercise or enjoy snack that you can find everywhre."
1,nice place to hang out.  lots of food and drink. IN  
1,"Chill place, good for evening or morning walk. "
1,"a good place to exercise nearby and buy some goods, "
1,"The road under the bridge looks like it has not been maintained, the color has become plain, there is no shelter anymore"
1,"It's pretty clean & not too hot, because there are lots of trees, lots of culinary & various kinds of knick-knacks sold here"
1,Entrance tickets can be purchased online or on the spot (on location).
1,Good  More and more facilities
1,"Decent place for holidays with family or friends, lots of culinary menu choices. "
1,"An inexpensive recreation area, a variety of culinary delights and a center for souvenirs. "
1,"Relax, but cleanliness needs to be improved"
1,"Recommended, Those who want a Murmer vacation "
1,Recreational places are cheap and affordable
1,"The place is nice  Now it's clean, plus there is a new bridge, it's even more beautiful"
1,Nice place
1,Complete place
1,Just normal
1,"Old Kenjeran Beach is now a better, cleaner and more comfortable place to gather with family or friends, the ticket prices are also affordable"
1,now it's pretty good and neat 
1,Many Good Beach Cracker Traders Suitable For Holidays Or Just Come Here
1,Super more comfortable now though
1,Folk beach tourism
1,Nice bridge to see the view
1,"The place is quite crowded, clean, MSMEs are very functioning, service   traders are good and friendly"
0,The Alun-alun Museum is also closed.
1,"Complete facilities, there is a mosque, underground parking, there is a canteen, "
1,There are viral photos of events in Indonesia.
1,There is a martyr's mosque and the courtyard is quite wide.
1,"There is a fountain, a library."
1,Thank you local government of Surabaya.
1,"But please, for access to the library, it's best to register, don't be too complicated with this data, so that many people come there."
1,"There is a free museum underground, and it's very comfy after walking around the building above"
1,"What's a shame is the directions to the exact location on the wrong bridge should have gone to the right instead, to the left, "
1, Please pay attention to the city government.
1,Htm free cm byr parking only 5k
1,Can get on a boat too  
1,"The place is really wide  If it's during the day, don't forget to bring an umbrella"
1,"there is a playground even though it's small, there are ducks, lots of gazebos and seats, really suitable for toddlers to seniors, "
1,We will see views of the shady mangrove forest since entering this ecotourism area.
1,Aesthetic location settings and wooden bridges that are a shame if they are not captured on camera.
1,Holidays to the Mangrove Mount Anyar Tourism can be done on weekends. 
1,"If visiting hours are about to run out, the officer will notify you via loudspeaker."
1,This tourist spot is open every day from 07.00 to 15.00 WIB. Visitors are asked to maintain cleanliness and facilities during the tour.
1,"Some of the facilities at this tourist spot include a parking area, toilets, prayer room, gazebo, food court and other facilities that can support activities while in the Gunung Anyar Mangrove. "
1,"The latest is the MSME showroom which will later sell food and beverages made from mangrove plants, including: mangrove syrup, mangrove chili sauce, etc."
1,"Even though there are still a lot of additional facilities, such as parking lots for 4-wheeled vehicles."
1,Several photo spots that spoil the eye are also available almost along the route.
1,"Carrying the concept of Ecogreen tourism, it is very comfortable to visit for family tourism or for photo hunting or jogging around the mangrove area."
1,Generally tourists travel on weekends and sometimes there are also community activities or managers who invite tourists to plant mangroves on certain dates.
1,"Supporting facilities include jogging tracks, trash bins in every corner, clean toilets, prayer room, photo spots, nursery, motorbike and car parking is very wide. In addition, there is also a canteen   cafeteria."
1,There's nothing wrong with enjoying a holiday and a picnic here. Have a great adventure 
1,Although there are some spots that need to be addressed again. Perfect for holidays with family or friends.
1,"You will see a beautiful view of the mangrove forest from the moment you enter the Mangrove Mount Anyar Tourism area. When crossing the bridge, you will be surrounded by lush mangrove trees."
1,"You will also be treated to views of cranes, long-tailed monkeys and sea frogs."
0,but places to sit just to rest are lacking almost nonexistent.
0,For crossing access to the next park (playground) why is it closed.
0,So for the playground you have to go through a road that is damaged and very muddy and you have to pay for park  
0,"Kenjeran's writings were damaged, and many public chair facilities were damaged"
0,Annoyed by sales people who always come even though they are just passing by
0,Please pay attention to the maintenance even though on holidays it is full of visitors
0,"No need to worry if you don't bring a mat, because food beverage sellers also offer mat rental for free but with the condition that you have to order food drinks."
1,Don't worry too about the price of food drink because the price of food drink is also listed on the menu offered. 
1, For food and drink prices are still relatively reasonable.
1," For hygiene conditions, it is much cleaner now than before the renovation."
1,There are also several places for the bathroom.
1,"For those who want to buy souvenirs, there is also a souvenir market"
1,Children love to play in the sand on the beach
0,it's a shame the sea water is a bit cloudy.
1,"Those who want a Murmer vacation you can take your own ass  Suitable for a big family picnic But if you want to take a boat, pay another 10k  just kiss it."
1,thank you for being allowed to enter for the public
1," My gosh how it has changed. Lots of temple etc, felt like in Thailand. Kudos to the people who manage it"
1,Many passengers are waiting to board the ship.
1,Keep spirit sis 
1,Reduce the beauty of its old buildings.
1,"please maintain decency, don't be too crowded because it is still inhabited, many villagers pass by"
0,many are damaged like the iron bars
0,but my advice is not to go there at night 
1,but quite iconic and has the feel of the old city . 
1,is quite good for photography lovers to be creative and beautiful photo art   
1,Owned by the city government of Surabaya
1,There are lots of games for children too
1,Just right for relaxing 
0, for motorbike parking is rather difficult
0,parking is a bit difficult
0,Nothing to see.
0,Came here after seeing the high scores on maps.
0, But it's just overrated.
0, The hype about the place is stunning inaccurate
0,Waste of time unless you are going on a Gerry.
0,You can get a grab car to drop you off but not to pickup
1,people are welcoming
1,such a bad thing
1,"it's expensive, it's not tasty and you don't intend to sell it"
1," the food is random, the stalls selling don't pay attention to quality"
1," it's not worth the price, an average of 20-30 thousand for food and snacks"
1, really not recommended
1,"A very memorable experience, enjoying the hustle and bustle of a densely packed city, even at night. If you go to Surabaya, you will come here again."
1, The beautiful city lights give the impression of a city that never sleeps.
1,"Good place to bring yoir childern, so many toys and some playing ground for free "
1,"I felt comfortable when I sat alone here in the evening, watched group of people doing their activities, until a salesperson came to offer something."
1, there are a lot of Snacks and beverages in the area. there are religious traditional spot.
1,"Overall is good For hanging out with your friends and family. not really Much of a Attraction Tour Point, But a Really Good Place to Chill Out and Shares some stories. But there are minimum spaces with Roof above, so be careful when It is Rainy season."
1,"Was only here for a short time, so I couldn't tell much. The local snacks was pretty good and affordable."
0,"Kenjeran's writings were damaged, and many public chair facilities were damaged"
0,Annoyed by sales people who always come even though they are just passing by
0,Please pay attention to the maintenance even though on holidays it is full of visitors
1,"Have been here 3x, 2x before the pandemic & most recently in the middle of May 2023, always happy here because basically I like to see animals & feed them."
1,The place is actually nice and cool
0,"lots of birds, but the place looks dirty, lots of bird droppings"
1,"Cool and very beautiful. But it's a shame it's quite empty of visitors, tickets per person can be exchanged for ice cream."
0,Access to here is not very smooth road
0,Supporting facilities such as information about Latin animal names are minimal
1,"yesterday after coming here, the location is quite looking for it. just follow the maps, you will find it. "
0,"It seems deserted where the play area is closed, the condition is not well maintained since the effects of the pandemic"
1,"Good, friendly staff.  But it's still quite ok"
1,"This place is pretty good too to visit. On weekdays, the entrance ticket is 35 thousand. To get to this place there is no public transportation, you can take an online taxi but the wait is a bit long."
0,"It's not as interesting as it used to be, tickets are expensive, but the tours that are presented are not well maintained, the birds are few. "
0,Poor birds 
1,Cool
1,"Interesting place, staying managed again is more interesting"
1,"There are many birds, but it's a shame that only small birds are"
1,"Lembang tourism is really good, it is recommended to take children here to refresh"
1,The place is cool
1,It's great to have a vacation
1,"Good place for kids , "
1,"The place is good, educational for children"
1,"Very large places, but not too many people visit this place, maybe because pandemic n mudik season. "
0,Not maintained well probably because of the pandemic. 
1,"If you are happy with taking photos, then this place is highly recommended, "
1,Inside the rabbit town is many spot photo. 
1,This place is more suitable for you who want to take selfie than for children. 
0,I was so dissapointed after visiting this place.
1,"If you are looking for a place to take photos and selfie, you can put this on your list. This is very suitable for teenagers, youngsters and those who love taking selfies. "
1,Family tourist with animal sight seeing. There is 25k admission where you can redeem with food and drinks. Overall is not bad for tourist looking for family spot. 
1,"Ideal for selfie lovers out there. Just try to avoid weekends, so full and packed, you won’t be able to take a proper selfie. There are cafes and food stalls inside. "
0,"I came here when it was almost dark, so I couldn't take photos in outdoor spots"
0,The place is still on development though most of it are completed. 
0,"Let's put aside the ""plagiarized"" claim that has been echoing this place."
0,The entrance fee is higher than my cholesterol and every attraction inside will ask you for more money. 
1,Fun place to spend time with family and friends. 
1,"Its a mix of indoor and outdoor playing ground, lots of places to take good selfies, and a lot of animals that you can also feed by buying some of the foods there."
1,"tempat bermain anak-anak, foto - foto instagramable."
1,It is  nice  but felt very pretentious. There are several places for selfie  
